Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12651,2023-02-03,-0.03059436,-0.081966864,-0.084279576,21,100
Market-Adjusted Model,12652,2023-02-03,0.0273625782,-0.025793498,-0.026322638,21,100
Market-Adjusted Model,12654,2023-02-03,0.0071582258,-0.045734061,-0.046526991,21,100
Market-Adjusted Model,12655,2023-02-03,-0.027639357,-0.080848005,-0.081324574,21,100
Market-Adjusted Model,12656,2023-02-03,0.0584996837,0.0046485755,0.0048144673,21,100
Market-Adjusted Model,12657,2023-02-03,0.0588493679,0.0053572152,0.0051641515,21,100
Market-Adjusted Model,12658,2023-02-03,0.0532246839,-0.000332205,-0.000460533,21,100
Market-Adjusted Model,12659,2023-02-03,0.0750367214,0.0207902475,0.021351505,21,100
Market-Adjusted Model,12662,2023-02-03,-0.018050524,-0.070051694,-0.071735741,21,100
Market-Adjusted Model,12666,2023-02-03,0.0111740047,-0.042379138,-0.042511212,21,100
Market-Adjusted Model,12672,2023-02-03,0.0379744603,-0.01596098,-0.015710756,21,100
Market-Adjusted Model,12673,2023-02-03,-0.03237959,-0.085112674,-0.086064806,21,100
Market-Adjusted Model,12675,2023-02-03,-0.026340484,-0.07995393,-0.080025701,21,100
Market-Adjusted Model,12676,2023-02-03,-0.019639806,-0.073214865,-0.073325022,21,100
Market-Adjusted Model,12680,2023-02-03,-0.130573268,-0.178390636,-0.184258484,21,100
Market-Adjusted Model,12681,2023-02-03,0.034413504,-0.017694555,-0.019271712,21,100
Market-Adjusted Model,12684,2023-02-03,-0.007009395,-0.056630204,-0.060694611,21,100
Market-Adjusted Model,12690,2023-02-03,-0.118329465,-0.175621803,-0.172014682,21,100
Market-Adjusted Model,12693,2023-02-03,-0.051679755,-0.100869431,-0.105364971,21,100
